iter	Passed	Remaining
1036	2425	1082
1037	2428	1080
1038	2430	1078
1039	2432	1076
1040	2435	1073
1041	2437	1071
1042	2439	1068
1043	2441	1066
1044	2444	1064
1045	2446	1061
1046	2448	1059
1047	2450	1057
1048	2453	1054
1049	2455	1052
1050	2457	1049
1051	2459	1047
1052	2461	1045
1053	2464	1042
1054	2466	1040
1055	2468	1037
1056	2471	1035
1057	2473	1033
1058	2475	1031
1059	2478	1028
1060	2480	1026
1061	2482	1023
1062	2484	1021
1063	2487	1019
1064	2489	1016
1065	2491	1014
1066	2494	1012
1067	2496	1009
1068	2498	1007
1069	2500	1004
1070	2503	1002
1071	2505	1000
1072	2507	998
1073	2510	995
1074	2512	993
1075	2514	991
1076	2517	988
1077	2519	986
1078	2521	983
1079	2524	981
1080	2526	979
1081	2528	976
1082	2531	974
1083	2533	972
1084	2535	969
1085	2538	967
1086	2540	965
1087	2542	962
1088	2545	960
1089	2547	958
1090	2549	955
1091	2551	953
1092	2553	950
1093	2556	948
1094	2558	946
1095	2560	943
1096	2563	941
1097	2565	939
1098	2567	936
1099	2570	934
1100	2572	932
1101	2574	929
1102	2577	927
1103	2579	925
1104	2581	922
1105	2583	920
1106	2586	918
1107	2588	915
1108	2591	913
1109	2593	911
1110	2595	908
1111	2598	906
1112	2600	904
1113	2602	901
1114	2605	899
1115	2607	897
1116	2609	894
1117	2611	892
1118	2614	890
1119	2616	887
1120	2618	885
1121	2621	883
1122	2623	880
1123	2625	878
1124	2627	875
1125	2630	873
1126	2632	871
1127	2634	868
1128	2637	866
1129	2639	864
1130	2641	861
1131	2643	859
1132	2646	857
1133	2648	854
1134	2650	852
1135	2653	850
1136	2655	847
1137	2657	845
1138	2659	842
1139	2661	840
1140	2663	838
1141	2666	835
1142	2668	833
1143	2670	831
1144	2673	828
1145	2675	826
1146	2677	824
1147	2679	821
1148	2682	819
1149	2684	817
1150	2686	814
1151	2689	812
1152	2691	810
1153	2693	807
1154	2696	805
1155	2698	803
1156	2700	800
1157	2703	798
1158	2705	795
1159	2707	793
1160	2710	791
1161	2712	788
1162	2714	786
1163	2716	784
1164	2718	781
1165	2721	779
1166	2723	777
1167	2725	774
1168	2728	772
1169	2730	770
1170	2732	767
1171	2735	765
1172	2737	763
1173	2739	760
1174	2742	758
1175	2744	756
1176	2746	753
1177	2748	751
1178	2751	749
1179	2753	746
1180	2755	744
1181	2757	741
1182	2760	739
1183	2762	737
1184	2764	734
1185	2767	732
1186	2769	730
1187	2771	727
1188	2774	725
1189	2776	723
1190	2778	720
1191	2781	718
1192	2783	716
1193	2785	713
1194	2787	711
1195	2790	709
1196	2792	706
1197	2794	704
1198	2797	702
1199	2799	699
1200	2801	697
1201	2804	695
1202	2806	692
1203	2808	690
1204	2810	688
1205	2813	685
1206	2815	683
1207	2817	681
1208	2819	678
1209	2822	676
1210	2824	674
1211	2826	671
1212	2829	669
1213	2831	667
1214	2833	664
1215	2836	662
1216	2838	660
1217	2840	657
1218	2842	655
1219	2845	652
1220	2847	650
1221	2849	648
1222	2851	645
1223	2853	643
1224	2855	641
1225	2858	638
1226	2860	636
1227	2862	634
1228	2864	631
1229	2867	629
1230	2869	627
1231	2871	624
1232	2874	622
1233	2876	620
1234	2878	617
1235	2880	615
1236	2883	613
1237	2885	610
1238	2887	608
1239	2889	605
1240	2892	603
1241	2894	601
1242	2896	598
1243	2898	596
1244	2901	594
1245	2903	591
1246	2905	589
1247	2908	587
1248	2910	584
1249	2912	582
1250	2914	580
1251	2917	577
1252	2919	575
1253	2921	573
1254	2924	570
1255	2926	568
1256	2928	566
1257	2930	563
1258	2933	561
1259	2935	559
1260	2937	556
1261	2940	554
1262	2942	552
1263	2944	549
1264	2947	547
1265	2949	545
1266	2951	542
1267	2953	540
1268	2956	538
1269	2958	535
1270	2960	533
1271	2962	531
1272	2965	528
1273	2967	526
1274	2969	524
1275	2972	521
1276	2974	519
1277	2976	517
1278	2978	514
1279	2981	512
1280	2983	510
1281	2985	507
1282	2988	505
1283	2990	503
1284	2993	500
1285	2995	498
1286	2997	496
1287	2999	493
1288	3002	491
1289	3004	489
1290	3006	486
1291	3009	484
1292	3011	482
1293	3013	479
1294	3016	477
1295	3018	475
1296	3020	472
1297	3022	470
1298	3025	468
1299	3027	465
1300	3029	463
1301	3031	461
1302	3034	458
1303	3036	456
1304	3038	454
1305	3041	451
1306	3043	449
1307	3045	447
1308	3048	444
1309	3050	442
1310	3052	440
1311	3054	437
1312	3057	435
1313	3059	433
1314	3061	430
1315	3063	428
1316	3066	426
1317	3068	423
1318	3070	421
1319	3072	419
1320	3074	416
1321	3077	414
1322	3079	411
1323	3081	409
1324	3083	407
1325	3085	404
1326	3087	402
1327	3090	400
1328	3092	397
1329	3094	395
1330	3096	393
1331	3099	390
1332	3101	388
1333	3103	386
1334	3106	383
1335	3108	381
1336	3110	379
1337	3113	376
1338	3115	374
1339	3117	372
1340	3120	369
1341	3122	367
1342	3124	365
1343	3127	362
1344	3129	360
1345	3131	358
1346	3134	355
1347	3136	353
1348	3138	351
1349	3140	348
1350	3143	346
1351	3145	344
1352	3148	342
1353	3150	339
1354	3152	337
1355	3154	335
1356	3157	332
1357	3159	330
1358	3162	328
1359	3164	325
1360	3166	323
1361	3169	321
1362	3171	318
1363	3173	316
1364	3176	314
1365	3178	311
1366	3180	309
1367	3182	307
1368	3185	304
1369	3187	302
1370	3189	300
1371	3191	297
1372	3194	295
1373	3196	293
1374	3198	290
1375	3200	288
1376	3203	286
1377	3205	283
1378	3207	281
1379	3209	279
1380	3212	276
1381	3214	274
1382	3216	272
1383	3219	269
1384	3221	267
1385	3223	265
1386	3225	262
1387	3227	260
1388	3229	258
1389	3232	255
1390	3234	253
1391	3236	251
1392	3238	248
1393	3241	246
1394	3243	244
1395	3245	241
1396	3247	239
1397	3250	237
1398	3252	234
1399	3254	232
1400	3256	230
1401	3259	227
1402	3261	225
1403	3263	223
1404	3265	220
1405	3267	218
1406	3270	216
1407	3272	213
1408	3274	211
1409	3276	209
1410	3279	206
1411	3281	204
1412	3284	202
1413	3286	199
1414	3288	197
1415	3290	195
1416	3293	192
1417	3295	190
1418	3297	188
1419	3299	185
1420	3302	183
1421	3304	181
1422	3306	178
1423	3309	176
1424	3311	174
1425	3313	171
1426	3315	169
1427	3317	167
1428	3320	164
1429	3322	162
1430	3324	160
1431	3327	157
1432	3329	155
1433	3331	153
1434	3333	151
1435	3336	148
1436	3338	146
1437	3340	144
1438	3342	141
1439	3345	139
1440	3347	137
1441	3349	134
1442	3351	132
1443	3354	130
1444	3356	127
1445	3359	125
1446	3361	123
1447	3363	120
1448	3365	118
1449	3368	116
1450	3370	113
1451	3372	111
1452	3375	109
1453	3377	106
1454	3379	104
1455	3381	102
1456	3384	99
1457	3386	97
